row ID,Cluster,SlogP,SMR,LabuteASA,TPSA,AMW,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3
Row0,Non-binders,2.712,62.5552,98.4816169,66.03,226.235,1,3,1,4,17,27,0,0,2,2,0,0,1,0,0,1,0,0,0.076923077,9.227811792,5.066916086,3.501973239,2.399162356,1.499790121,5.066916086,3.501973239,2.399162356,1.499790121,-2.54,10.96072883,4.537552984,2.182451009
Row1,Non-binders,1.70312,65.7055,104.781144,56.49,245.282,0,5,0,5,18,33,0,0,3,2,0,1,2,0,0,0,0,1,0.461538462,10.56391476,6.164904577,4.614804198,3.553854268,2.640236247,6.164904577,4.614804198,3.553854268,2.640236247,-1.91,11.19585822,4.082190013,1.50216685
Row2,Non-binders,2.49032,69.62,105.5811818,62.32,247.294,2,3,0,4,18,35,0,0,2,2,0,0,1,0,0,1,0,0,0.357142857,10.99576098,5.77813725,4.935961589,3.091145163,2.183223862,5.77813725,4.935961589,3.091145163,2.183223862,-1.81,12.6418503,4.137177457,1.993579012
Row3,Non-binders,2.3193,65.6052,101.8607312,54.88,233.315,1,3,1,4,17,36,0,0,2,1,1,1,1,0,0,0,1,1,0.615384615,10.06182403,6.429507796,4.606155256,3.236204037,2.276162833,6.429507796,4.606155256,3.236204037,2.276162833,-1.45,12.01877995,6.325836042,3.80230939
Row4,Non-binders,1.2721,52.0855,81.55831171,66.4,193.202,2,2,1,4,14,25,0,0,1,1,0,0,0,0,0,1,0,0,0.2,7.780218034,4.160329074,2.948624881,1.629654247,1.083813687,4.160329074,2.948624881,1.629654247,1.083813687,-1.84,10.24223684,4.4113234,3.264389276
Row5,Non-binders,1.0525,63.187,102.8736602,92.7,249.222,2,4,1,6,18,29,0,0,1,1,0,0,0,0,0,1,0,0,0.083333333,9.544308372,4.936385541,3.197987177,1.967527677,1.201447096,4.936385541,3.197987177,1.967527677,1.201447096,-2.63,13.43506181,6.190668155,3.74587587
Row6,Non-binders,1.8184,59.876,102.2040644,92.68,249.222,2,4,1,6,18,29,1,1,2,2,0,0,2,0,0,0,0,0,0.166666667,9.328765423,5.261343452,3.616631256,2.315663736,1.524050568,5.261343452,3.616631256,2.315663736,1.524050568,-2.5,11.97015611,5.22,2.789256198
Row7,Non-binders,1.96922,52.1604,76.93903886,46.38,180.207,0,3,0,4,13,25,0,0,1,1,0,0,0,0,0,1,0,0,0.333333333,7.942974579,3.94482303,3.122326546,1.873000537,1.254979409,3.94482303,3.122326546,1.873000537,1.254979409,-1.58,9.507565674,3.429440079,1.958815134
Row8,Non-binders,2.02672,58.53,91.44930025,56.51,218.208,0,4,0,4,16,26,0,0,2,2,0,0,1,0,0,1,0,0,0.166666667,8.942394239,4.790129012,3.500057364,2.18440426,1.534696681,4.790129012,3.500057364,2.18440426,1.534696681,-2.1,10.41889555,3.808863452,1.953868797
Row9,Non-binders,3.4108,64.0167,97.59983094,24.39,232.233,1,2,0,4,17,27,0,0,2,2,0,0,0,0,0,2,0,0,0,8.899294964,5.041179705,3.431900861,2.101892696,1.288219656,5.041179705,3.431900861,2.101892696,1.288219656,-2.23,11.26120823,5.20526377,3.376202619
Row10,Non-binders,0.684,54.4628,76.96679185,76.76,176.223,2,2,0,4,13,25,0,0,1,1,0,0,0,0,0,1,0,0,0.111111111,7.435879075,3.885247467,2.576301157,1.507033702,0.869825172,3.885247467,2.576301157,1.507033702,0.869825172,-1.84,9.249605735,4.251656293,2.943578505
