# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     48.93     -40.46       2.86       0.00       0.00       0.00       0.64       1.17    1.999  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m1_4.sdf'                 'CC 00401'
     48.98     -43.05       2.00       0.00       0.00       0.00       0.03       0.00    2.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m2_2.sdf'                 'CC 00413'
     53.10     -44.24       3.34       0.00       0.00       0.00       1.50       1.84    2.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m3_3.sdf'                 'CC 00501'
     53.23     -44.33       3.00       0.00       0.00       0.00       0.05       0.00    2.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m4_2.sdf'                 'CC 00509'
     49.28     -43.55       2.00       0.00       0.00       0.00       0.13       0.00    1.001  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m5_3.sdf'                 'CC 00513'
     52.68     -47.65       1.85       0.00       0.00       0.00       0.26       0.00    3.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m6_1.sdf'                 'CC 00546'
     48.71     -39.82       3.00       0.00       0.00       0.00       0.06       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m7_1.sdf'                 'CC 00801'
     44.01     -40.89       1.27       0.00       0.00       0.00       0.35       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m8_3.sdf'                 'CC 00813'
     47.79     -41.89       2.00       0.00       0.00       0.00       0.05       0.00    0.001  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m9_3.sdf'                 'CC 00901'
     53.42     -43.17       3.52       0.00       0.00       0.00       0.16       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m10_3.sdf'                 'CC 01301'
